turn_id;utterance;speaker;intents
3;OK, how many are in your party, what day will you arrive, and how many nights will you be staying?;SYSTEM;
4;I actually don't need reservations I just need the phone number, price range.;USER;find_hotel,find_restaurant,
5;As I mentioned it is cherap and the phone number is 01223316074.;SYSTEM;
6;Okay. now could you help me find a restaurant in the expensive price range that is in the same area as the hotel?;USER;find_restaurant,find_hotel,
7;Sure thing what kind of food do you want?;SYSTEM;
8;Before we do that, what is the name of the guesthouse? And also, do they have free parking?;USER;find_hotel,
9;The Worth house is in the cheap price range and they do offer parking. Can I help with anything else?;SYSTEM;
10;Could you recommend an expensive restaurant in the same area?;USER;find_restaurant,
11;There is saigon city that serves asian oriental food. Would you like to book a table there?;SYSTEM;
12;Yes, book me a table for 2 people at 12:15 on monday.;USER;book_restaurant,
13;I've booked it for you! The reference is LQJWQD08 .;SYSTEM;
14;Thank you so much. That's all I need. Good-bye.;USER;
15;Thank you for letting me help you today.;SYSTEM;
0;Hi, I need to catch a train from Stevenage to Cambridge.;USER;find_train,
1;I can help you with that. What day will you be traveling?;SYSTEM;
2;I need to leave on Wednesday and arrive no later than 21:45.;USER;find_train,
3;I have train TR4015 that leaves at 19:54,and arrives at 20:43. Is that to your liking?;SYSTEM;
4;How long will that trip take?;USER;find_train,
5;The travel time for that train is 49 minutes;SYSTEM;
6;Thanks. Can you tell me anything about the castle galleries attraction?;USER;find_attraction,
7;Sure it is a lovely museum located in the centre, and the best part is it is free to get in!;SYSTEM;
8;Could I please get the phone number for that?;USER;find_attraction,
9;the phone number is 01223307402;SYSTEM;
10;That's perfect, thanks!;USER;
11;You're welcome! Is there anything else you need help with today?;SYSTEM;
12;No that is it. Thank you!;USER;
13;You're welcome, and have a great day!;SYSTEM;
0;I need a five starts hotel close to a mall and main restaurants. The hotel should include free wifi in the room.;USER;find_hotel,
1;I'm sorry, but there are no 5-star hotels anywhere in Cambridge. Would you like to broaden your criteria?;SYSTEM;
2;How about something with 4 stars and something expensive.;USER;find_hotel,
3;I have 2 options for you - The Huntingdon Marriott on the west side, and the University Arms in the center. Are you interested in one of these?;SYSTEM;
4;Maybe. Is either one a 4 star hotel? If so, I'd like to book a room for 4 nights.;USER;book_hotel,
5;Both are 4 stars. How many days would you be staying, and how many people are in your party? I can see if something is available.;SYSTEM;
6;I need a reservation for 4 nights starting Saturday.;USER;book_hotel,
7;How many are in your party?;SYSTEM;
8;3 people. Can I get the reference number please?;USER;book_hotel,
9;I'm sorry, but there is nothing available at that time at either hotel. Would you like to try fewer nights or perhaps a different arrival day?;SYSTEM;
10;Will you try Sunday arrival?;USER;book_hotel,
11;Yes, I tried Sunday but it isn't available. Can you shorten your stay at all?;SYSTEM;
12;Yes, can you try it for 3 nights, please.;USER;book_hotel,
13;Neither hotel appears to have three days available starting on Sunday for three people, can I look something else up for you?;SYSTEM;
14;I may have been confusing you. Could you try and book a 4 star, expensive hotel for 3 nights, starting on Saturday? 3 people. Wifi please.;USER;book_hotel,
15;Sure. I was able to book you for the Huntingdon Marriott Hotel. Reference #IHGCTXH9 . Anything else I can help with?;SYSTEM;
16;Whew, thanks, sorry for all of the confusion. I think that covers everything. thanks so much for the help.;USER;
17;You're quite welcome. If you need anything else just message us again. Thanks for contacting the Cambridge TownInfo Centre and have a great day!;SYSTEM;
0;Can you help me find a cheap place to stay in the east part of town?;USER;find_hotel,
1;Sure. There are three guesthouses there. I'd be happy to book one for you if you like.;SYSTEM;
2;Does it have a star rating of 2?;USER;find_hotel,
3;No. They all have 4 stars.;SYSTEM;
4;Then find me one in the expensive price range.;USER;find_hotel,find_restaurant,
5;All of the accommodations in the East are in the cheap price range. Would you like to try a different part of town?;SYSTEM;
6;find me a nice one and book for 5 people and 3 nights from thursday;USER;book_hotel,find_restaurant,
7;Actually, the Express by Holiday Inn Cambridge is a 2 start hotel in the east area. It's in the expensive price range. How does that sound?;SYSTEM;
8;That sounds perfect. Can you reserve that and provide me with the reference number?;USER;book_hotel,
9;Okay, you're all set. The hotel is booked and the reference number is Q3VVCAD8 . Can I help you with anything else today?;SYSTEM;
10;Thank you. I am also looking for a restaurant that serves Chinese and that is in the same area as the hotel.;USER;find_restaurant,
11;Yu garden is an expensive restaurant in the same area as the hotel, would you like me to make reservations for you?;SYSTEM;
12;Yes. Same group of people, at 19:45 on the same day please.;USER;book_restaurant,
13;Booking was successful. The table will be reserved for 15 minutes. Reference number is : L9CIMUNJ . What else can I help you with today?;SYSTEM;
14;That was all I needed. Thanks. Bye.;USER;
15;Ok! Have a great day!;SYSTEM;
0;I'm looking for information on Cambridge University Botanic Gardens.;USER;find_attraction,
1;They are on bateman st, postal code cb21jf, they can be reach at 01223336265, the entrance fee is 4 pounds, can I help with anything else?;SYSTEM;
2;Yes can you help me find a restaurant?;USER;find_attraction,find_restaurant,
3;The Botanic Gardens are in the centre. Would you like the restaurant to also be in the center? Do you have any type of cuisine in mind?;SYSTEM;
4;Never mind, I will worry about food later. I am actually looking for a hotel with a guesthouse and free parking would be great as well.;USER;find_hotel,
5;There are 21 guesthouses with free parking, do you have a price or area preference?;SYSTEM;
6;Cheap and in the south please.;USER;find_hotel,
7;I found a guest house listing for Rosa's Bed and Breakfast in the south. Would you like more information?;SYSTEM;
8;I really need a hotel in the west please.;USER;find_hotel,
9;i have 1 hotel in the west. the cambridge belfry is cheap with 4 stars. it offers free parking and wifi. do you need a room?;SYSTEM;
10;I'm sorry. I really was looking for a guesthouse.;USER;find_hotel,
11;Okay. And did you want it in the west or the south?;SYSTEM;
12;I would like the west please.;USER;find_hotel,
13;I found finches bed and breakfast matching your request. Would you like to book a room now?;SYSTEM;
14;Can you please book for Saturday, 2 people, 5 nights please?;USER;book_hotel,
15;Booking was successful. Reference number is : W1QIVTNY .;SYSTEM;
16;Thank you so much. I believe that is all I need today. Thanks again for all your help.;USER;
17;Have a nice day.;SYSTEM;
0;I would like to find an architectural attraction to go to in the centre. Can you help me?;USER;find_attraction,find_restaurant,
1;Yes! I found 5 attractions matching your requirements. Would you like to know more?;SYSTEM;
2;I would like to get the entrance fee and address of them please;USER;find_attraction,
3;Great saint mary's church is 2 pounds and the other 4 are free. Would you like the address for great saint mary's church?;SYSTEM;
4;Yes, that would be great.;USER;find_attraction,
5;The church is located in Market Square postcode cb23pq. I do not have access to the full address.;SYSTEM;
6;Okay thank you. That is all I needed.;USER;
7;OK, can I help with any other travel plans?;SYSTEM;
8;We are looking for a place to dine, preferably expensive Italian food in the same area as the attraction. What do you suggest? I need an address and postcode please.;USER;find_restaurant,
9;Okay, I recommend the clown's cafe. Would you like me to make a reservation?;SYSTEM;
10;Can you book it for me and get a reference number ?;USER;find_restaurant,
11;Yes I can if you let me know how many people the reservation will be for an date and time of the booking.;SYSTEM;
12;I do not need a reservation. I need a postcode and address only.;USER;find_restaurant,
13;The postcode for Clowns Cafe is cb11ln. The address is 54 King Street City Centre. Can I help you with anything else today?;SYSTEM;
14;Nope that's it, you have been oh so wonderful, thank you!;USER;
15;Thank you so much! I hope you have an excellent time on your trip! Goodbye!;SYSTEM;
0;Hi, I'm looking for a restaurant with modern european food. It should be in the moderate price range.;USER;find_restaurant,
1;What area are you wanting to be in?;SYSTEM;
2;Doesn't really matter. Is there one in the centre?;USER;find_restaurant,
3;Yes, there are 2: De Luca Cucina and Bar & Riverside Brasserie. Would you like further information?;SYSTEM;
4;Can I book De Luca Cucina and Bar for 6 people at 19:15 on saturday please?;USER;book_restaurant,
5;Your tabled has been reserved for 6 people on Saturday at 19:15. The reference number is 9EB2IM2S .;SYSTEM;
6;Thank you so much. That is all I need for now. Have a great day.;USER;
7;Thank you. Goodbye.;SYSTEM;
0;I need a taxi. I'll be departing from la raza.;USER;find_taxi,
1;I can help you with that. When do you need to leave?;SYSTEM;
2;I'd like to leave after 11:45 please.;USER;find_taxi,
3;Where will you be going?;SYSTEM;
4;I'll be going to restaurant one seven.;USER;find_taxi,
5;I've booked for you a black Volkswagen, the contact number is 07552762364. Is there anything else I can help you with?;SYSTEM;
6;No, thats it. Thank you!;USER;
7;Thank you for contacting us and have a nice day.;SYSTEM;
0;I'm looking for info on expensive south indian restaurants in Cambridge.;USER;find_restaurant,
1;I am sorry but I have no listings for expensive South Indian restaurants. Is there another choice you would like?;SYSTEM;
2;Are you sure? Could you please check again?;USER;find_restaurant,
3;There are no south indian restaurants. There are indian restaurants available though. Would this b e okay?;SYSTEM;
4;No how about British food instead?;USER;find_restaurant,
5;There are a number of expensive british restaurants in cambridge. Do you have an area in mind?;SYSTEM;
6;The restaurant should be in the east.;USER;find_restaurant,
7;The Grafton Hotel Restaurant meets all of your criteria! Would you like to book a table?;SYSTEM;
8;No, I just need the post code and phone number, please.;USER;find_restaurant,find_hotel,
9;The phone number is 01223241387 and the postcode is cb58pa. Is there anything else I can help?;SYSTEM;
10;Yes I would like to also find a hotel called a and b guest house.;USER;find_hotel,
11;The a and b guest house is a 4 star guesthouse in the east at 124 tension road. It does not offer parking, but internet is available.;SYSTEM;
12;Could I have the address and postcode please?;USER;find_hotel,
13;Sure, it is located at 124 Tenison Road, postcode cb12dp.;SYSTEM;
14;That is all I need, thanks.;USER;
15;Glad I can help enjoy your stay.;SYSTEM;
16;Parting is such sweet sorrow, but that I all I need, have a good day.;USER;
17;ta ta or now. See ya later alligator.;SYSTEM;
18;Thanks for your help today.;USER;
19;helping ha been m pleasure;SYSTEM;
20;Bye, thank you.;USER;
21;bye great day;SYSTEM;
0;Can you see if there are any entertainment attractions in the centre of town?;USER;find_attraction,
1;Unfortunately there are no entertainment attractions in the centre of town. Is there a different area of town that would work for you?;SYSTEM;
2;What about a museum?;USER;find_attraction,
3;Yes, there are 11 museums. I'd recommend Broughton House Gallery. It's at 98 King Street cb11ln and has free entrance. Would that work for you?;SYSTEM;
4;Yes, that will work great. Can I get their phone number please?;USER;find_attraction,
5;Certainly. The Broughton House Gallery's phone number is 01223314960. Is there anything else I can help you with today?;SYSTEM;
6;No, that's all I need. Thanks!;USER;
7;You are welcome. Have a great day. Bye.;SYSTEM;
0;Hi, I'm looking for a nightclub in town please.;USER;find_attraction,
1;There are several nightclubs in town. I recommend ballare. It is found in the center of town.;SYSTEM;
2;Okay, could you tell me he postcode and the entrance fee?;USER;find_attraction,
3;Sure thing! Entry fee is 5 pounds and postcode is cb23na.;SYSTEM;
4;I would also like to eat in the center of town.;USER;find_restaurant,
5;We have many dining options available in city centre. Do you have a price range or style of food you would prefer?;SYSTEM;
6;Are there any steakhouses in the centre?;USER;find_restaurant,
7;Unfortunately not. Do you want to broaden your search?;SYSTEM;
8;Can you find something with italian food instead?;USER;find_restaurant,
9;Oh, great choice. I love Italian too. There are several options. How about Zizzi Cambridge?;SYSTEM;
10;That sounds great, what's the price range for Zizzi Cambridge?;USER;find_restaurant,
11;Zizzi Cambridge is relatively cheap, but the food is sublime. Would you like me to book it for you?;SYSTEM;
12;That sounds great, please do.;USER;find_restaurant,
13;I'd be happy to. Can you tell me a date, time and how many people in your party?;SYSTEM;
14;It will just be for me on Wednesday. I would like it to be for around 4pm.;USER;book_restaurant,
15;Booking was successful. The table will be reserved for 15 minutes. Your Reference number is : UWZS9JSU .;SYSTEM;
16;I would love a taxi;USER;find_taxi,
17;I can help with that. What is your departure site, destination, and the time you need it?;SYSTEM;
18;I want to depart the restaurant at 05:00 to go to the attraction;USER;find_taxi,
19;A yellow Tesla will pick you up, and the contact number is 07267272725. Can I help with anything else today?;SYSTEM;
20;No, I believe that's all I need today. Thanks for your help.;USER;
21;Have a great day. Enjoy your trip. Goodbye.;SYSTEM;
0;Hi, I was going to visit the centre, and wanted to know if there were any professional or semiprofessional teams playing during my visit.;USER;find_attraction,
1;There are no sports places in the centre of town.;SYSTEM;
2;Okay. Are there any architectural attractions?;USER;find_attraction,
3;Yes, there are 5. I can highly recommend All Saints Church, it's beautiful.;SYSTEM;
4;The sounds great, can I get their address and postal code?;USER;find_attraction,
5;The address is jesus lane.;SYSTEM;
6;what's the postcode?;USER;find_attraction,
7;The postcode is cb58bs. Is there anything else I can help you with?;SYSTEM;
8;I am also looking for the Bloomsbury, a restaurant.;USER;find_restaurant,
9;Yes I found bloomsbury restaurant located in the centre. It serves international food in the moderate price range. Would you like to book a table?;SYSTEM;
10;Yes, I sure would. I'd like to reserve a table on Sunday at 14:00 for 6 people. Can I get the reference number?;USER;book_restaurant,
11;I have made the reservations and your reference number is 9F1PDAH6 .;SYSTEM;
12;Thank you that will be all.;USER;
13;i hope i have been of help to you;SYSTEM;
14;You have been great, thank you.;USER;
15;Thank you for using the Cambridge TownInfo centre. Goodbye!;SYSTEM;
0;I'm looking to book a ticket for a train that leaves stevenage after 09:45.;USER;book_train,
1;Thank you so much. Have a nice day;SYSTEM;
2;did you book the ticket and if so, how much does it cost?;USER;book_train,
3;The first train to leave stevenage after 09:45 leaves at 09:54 and costs 12.80 pounds. Would you like me to book that for you?;SYSTEM;
4;Yes please. I need the booking for 8 people, and I would like a reference number.;USER;book_train,
5;done . Your reference number is EM07DZ7Z .;SYSTEM;
6;Thank you! I am also looking for information about the Golden Wok restaurant.;USER;find_restaurant,
7;Golden wok serves chinese food and is in the north area of town in the moderate price range. The address is 191 Histon Road Chesterton. Would you like to make a reservation?;SYSTEM;
8;No thanks. But the information you gave me helps alot. Thank you so much for your help. Have a good day.;USER;
9;You're welcome - have a great day!;SYSTEM;
0;Hi, I am trying to plan a trip and need some help with a train. I'm not familiar with trains at all unfortunately.;USER;find_train,
1;Don't worry, I should be able to help you. Do you know which station you'll be leaving from or going to?;SYSTEM;
2;I'm departing from leicester and I need to leave on friday. Thank you for helping!;USER;find_train,find_hotel,
3;What is your destination?;SYSTEM;
4;I'm going to Cambridge.;USER;find_train,
5;Is there a time you would like to arrive by?;SYSTEM;
6;11 pm and I want it for three people;USER;book_train,
7;TR6539 will arrive by 22:54. Booking was successful, the total fee is 113.4 GBP payable at the station. Your reference number is IE5RK2IG . Do you need anything else?;SYSTEM;
8;I also need a place to stay.;USER;find_hotel,
9;We have many great places to stay. What area would you like and do you have a price range?;SYSTEM;
10;I would like a guesthouse, rated 3 stars, in the north with free parking. I have 8 people and I want to stay for 5 nights starting on Friday.;USER;book_hotel,book_train,
11;I was able to book hamilton lodge, reference number is 7CAKIXH2 .;SYSTEM;
12;Thank you. That is all I needed. Goodbye.;USER;book_hotel,
13;you are welcome, enjoy yourself.;SYSTEM;
0;What can you tell me about christ's college?;USER;find_attraction,
1;Christ's College is located on Saint Andrew's Street. The entrance fee is free. You can call the college at phone number 01223334900. Is there specific information that you would like to know more about?;SYSTEM;
2;Yes. Could you give me the postcode please?;USER;find_attraction,
3;The postcode for the college is cb23bu.;SYSTEM;
4;I also need a train that goes to cambridge.;USER;find_train,
5;There are over 1400 trains that fit your needs. Could you please narrow it down as to which day & time you are wanting and where will you depart from?;SYSTEM;
6;I'll need to arrive by 11:30. I'm leaving from Peterborough on Friday.;USER;find_train,
7;Could you please mention your day of travel?;SYSTEM;
8;Friday, like I just said.;USER;find_train,
9;The TR2105 arrives at Peterborough on Frday at 11:09. Do you want me to purchase tickets for you?;SYSTEM;
10;I need to take a train FROM Peterborough TO Cambridge on Friday. I would like to arrive by 11:30 please.;USER;find_train,
11;The TR2105 arrives before 11:30. Would you like more information or to book it?;SYSTEM;
12;I need to book this for 6 people please. I will also need to get the reference number. Thanks for your help!;USER;book_train,
13;Booking was successful, the total fee is 99 GBP payable at the station . Reference number is : TQKCP8R1 .;SYSTEM;
14;Thanks for your help, that was all I needed. Goodbye.;USER;
15;You're welcome, have a good day.;SYSTEM;
0;I'm interesting in info about 3-star hotels and such that offer free wifi.;USER;find_hotel,
1;I have two hotels that match the description of 3 star ratings. Are you looking for a hotel in the centre or south area?;SYSTEM;
2;the location doesn't matter so long as it has free wifi;USER;find_hotel,
3;The Gonville Hotel is supposed to be great and it offers free wifi. Would you like me to book you a room?;SYSTEM;
4;book it for 5 people and 2 nights starting from monday.;USER;book_hotel,
5;Sorry, it looks like the hotel can't accommodate you for that amount of time.;SYSTEM;
6;Perhaps starting sunday instead?;USER;book_hotel,
7;Great, your reference number is O8VH7VL6 . Is there anything else I can help with?;SYSTEM;
8;No that's it all. Thanks for your help.;USER;
9;Wonderful. Glad to help.;SYSTEM;
0;We need to find a guesthouse of moderate price.;USER;find_hotel,
1;I can help you with that. Do you have any special area you would like to stay? Or possibly a star request for the guesthouse?;SYSTEM;
2;I would like it to have a 3 star rating.;USER;find_hotel,
3;The Bridge Guest House is a 3 star guesthouse. It is in the south area. Would you like to book a room?;SYSTEM;
4;Yes, please, for four people.;USER;book_hotel,
5;How many people is the reservation for?;SYSTEM;
6;Four. Two nights. Beginning Saturday.;USER;book_hotel,
7;I am afraid that booking is unsuccessful. Would you like a different day or amount of days?;SYSTEM;
8;How about 1 night? Would that work?;USER;book_hotel,
9;This booking is successful for 1 night. Your reference number is 85BGKWO4 . Is there anything else I can assist you with?;SYSTEM;
10;That's all. Thank you!;USER;
11;Great, have a pleasant stay. Bye.;SYSTEM;
0;I'm trying to find a concert hall in the east part of town.;USER;find_attraction,
1;Unfortunately, I don't have any listings for concert halls on the east side. Can I check another area of town for you?;SYSTEM;
2;How about an entertainment attraction instead?;USER;find_attraction,
3;There are two entertainment attractions on the east side. Would you like more information?;SYSTEM;
4;Yes and can I have the phone number and address of one of attraction?;USER;find_attraction,
5;Sure. Cherry Hinton Hall and Grounds can be reached at 01223446104. It is on Cherry Hinton Road, postcode cb18dw. Can I help you with anything else today?;SYSTEM;
6;Thanks. That's all I need for now.;USER;
7;Okay Thank you for calling.;SYSTEM;
0;My friend told me about a place called the Carolina Bed and Breakfast. Do you know anything about it?;USER;find_hotel,
1;It's a 4 star guesthouse. What information would you like to know about it?;SYSTEM;
2;Can you give me the postcode? And, do they have internet?;USER;find_hotel,find_attraction,
