turn_id;speaker;utterance;dialogue_act
12; USER ; No, that's all I needed today. Thanks for your help, it's much appreciated.;general-thank
13; SYSTEM ; Thank you for using our service!;general-bye
0; USER ; I need a train that will be in Cambridge by 3:00;Train-Inform
1; SYSTEM ; What day will you be travelling?;Train-Request
2; USER ; I will be travelling on Wednesday.;Train-Inform
3; SYSTEM ; Alright, where will you be departing?;Train-Request
4; USER ; I'm leaving out of London King's Cross.;Train-Inform
5; SYSTEM ; What time do you need to be there by? Is it 13:00?;Train-Request
6; USER ; No, I need to arrive by 14:00.;Train-Inform
7; SYSTEM ; I have only one train that would be close to those traveling times. It leaves London Kings Cross at 11:17 and arrives in Cambridge at 12:08.;Train-Inform
8; USER ; Can I get a ticket for 1 person and the reference number please.;Train-Inform
9; SYSTEM ; I was able to book you 1 ticket on train TR2417. Your total cost is 23.6 GBP payable at the station. Your reference number is T9V9S3I3 .;Train-OfferBooked
10; USER ; Thank you. I think that's all I need.;general-thank
11; SYSTEM ; You're welcome. Have a safe trip. Goodbye.;general-bye
0; USER ; I need to leave peterborough and arrive by 20:45. Can you book a train for me?;Train-Inform
1; SYSTEM ; What time would you like to depart?;Train-Request
2; USER ; I will depart any time so long as the train arrives by 20:45.;Train-Inform
3; SYSTEM ; OK, and what day do you need to travel?;Train-Request
4; USER ; Oh, I need to leave this Saturday. Just to clarify I want to leave Peterborough going to Cambridge.;Train-Inform
5; SYSTEM ; TR7143 will arrive in Cambridge Saturday by 20:38, it will depart peterborough at 19:48. Does this suit your needs?;Train-Inform
6; USER ; Yes that is perfect. Can you book that and give me a reference number?;Train-Request
7; SYSTEM ; Yes I booked it and your reference number is 6793D7ED . Will there be anything else?;Train-OfferBooked
8; USER ; No, I think that's going to be all I needed. Thanks. Have a good day.;general-bye
9; SYSTEM ; Thank you, Enjoy your day, goodbye.;general-bye
0; USER ; Where is a 4 star hotel located in North Cambridge?;Hotel-Inform
1; SYSTEM ; I have several options, almost all of which are moderate guesthouses. I do have one cheap one, too. Would you like to book a room?;Booking-Inform
2; USER ; Sure , that could be nice;
3; SYSTEM ; OK, how many are in your party, what day will you arrive, and how many nights will you be staying?;Booking-Request
4; USER ; I actually don't need reservations I just need the phone number, price range.;Hotel-Request
5; SYSTEM ; As I mentioned it is cherap and the phone number is 01223316074.;Restaurant-Inform
6; USER ; Okay. now could you help me find a restaurant in the expensive price range that is in the same area as the hotel?;Hotel-Request
7; SYSTEM ; Sure thing what kind of food do you want?;Restaurant-Request
8; USER ; Before we do that, what is the name of the guesthouse? And also, do they have free parking?;Hotel-Inform
9; SYSTEM ; The Worth house is in the cheap price range and they do offer parking. Can I help with anything else?;Hotel-Inform
10; USER ; Could you recommend an expensive restaurant in the same area?;Restaurant-Inform
11; SYSTEM ; There is saigon city that serves asian oriental food. Would you like to book a table there?;Booking-Inform
12; USER ; Yes, book me a table for 2 people at 12:15 on monday.;Restaurant-Inform
13; SYSTEM ; I've booked it for you! The reference is LQJWQD08 .;Booking-Book
14; USER ; Thank you so much. That's all I need. Good-bye.;general-bye
15; SYSTEM ; Thank you for letting me help you today.;general-welcome
0; USER ; Hi, I need to catch a train from Stevenage to Cambridge.;Train-Inform
1; SYSTEM ; I can help you with that. What day will you be traveling?;Train-Request
2; USER ; I need to leave on Wednesday and arrive no later than 21:45.;Train-Inform
3; SYSTEM ; I have train TR4015 that leaves at 19:54,and arrives at 20:43. Is that to your liking?;Train-Inform
4; USER ; How long will that trip take?;Train-Inform
5; SYSTEM ; The travel time for that train is 49 minutes;Train-Inform
6; USER ; Thanks. Can you tell me anything about the castle galleries attraction?;Attraction-Inform
7; SYSTEM ; Sure it is a lovely museum located in the centre, and the best part is it is free to get in!;Attraction-Inform
8; USER ; Could I please get the phone number for that?;Attraction-Request
9; SYSTEM ; the phone number is 01223307402;Attraction-Inform
10; USER ; That's perfect, thanks!;general-thank
11; SYSTEM ; You're welcome! Is there anything else you need help with today?;general-reqmore
12; USER ; No that is it. Thank you!;general-thank
13; SYSTEM ; You're welcome, and have a great day!;general-bye
0; USER ; I need a five starts hotel close to a mall and main restaurants. The hotel should include free wifi in the room.;Hotel-Inform
1; SYSTEM ; I'm sorry, but there are no 5-star hotels anywhere in Cambridge. Would you like to broaden your criteria?;Hotel-NoOffer
2; USER ; How about something with 4 stars and something expensive.;Hotel-Inform
3; SYSTEM ; I have 2 options for you - The Huntingdon Marriott on the west side, and the University Arms in the center. Are you interested in one of these?;Hotel-Inform
4; USER ; Maybe. Is either one a 4 star hotel? If so, I'd like to book a room for 4 nights.;Hotel-Inform
5; SYSTEM ; Both are 4 stars. How many days would you be staying, and how many people are in your party? I can see if something is available.;Booking-Inform
6; USER ; I need a reservation for 4 nights starting Saturday.;Hotel-Inform
7; SYSTEM ; How many are in your party?;Booking-Request
8; USER ; 3 people. Can I get the reference number please?;Hotel-Inform
9; SYSTEM ; I'm sorry, but there is nothing available at that time at either hotel. Would you like to try fewer nights or perhaps a different arrival day?;Booking-NoBook
10; USER ; Will you try Sunday arrival?;Hotel-Inform
11; SYSTEM ; Yes, I tried Sunday but it isn't available. Can you shorten your stay at all?;Booking-NoBook
12; USER ; Yes, can you try it for 3 nights, please.;Hotel-Inform
13; SYSTEM ; Neither hotel appears to have three days available starting on Sunday for three people, can I look something else up for you?;Booking-NoBook
14; USER ; I may have been confusing you. Could you try and book a 4 star, expensive hotel for 3 nights, starting on Saturday? 3 people. Wifi please.;Hotel-Inform
15; SYSTEM ; Sure. I was able to book you for the Huntingdon Marriott Hotel. Reference #IHGCTXH9 . Anything else I can help with?;Booking-Book
16; USER ; Whew, thanks, sorry for all of the confusion. I think that covers everything. thanks so much for the help.;general-thank
17; SYSTEM ; You're quite welcome. If you need anything else just message us again. Thanks for contacting the Cambridge TownInfo Centre and have a great day!;general-bye
0; USER ; Can you help me find a cheap place to stay in the east part of town?;Hotel-Inform
1; SYSTEM ; Sure. There are three guesthouses there. I'd be happy to book one for you if you like.;Booking-Inform
2; USER ; Does it have a star rating of 2?;Hotel-Inform
3; SYSTEM ; No. They all have 4 stars.;Hotel-Inform
4; USER ; Then find me one in the expensive price range.;Hotel-Inform
5; SYSTEM ; All of the accommodations in the East are in the cheap price range. Would you like to try a different part of town?;Hotel-Inform
6; USER ; find me a nice one and book for 5 people and 3 nights from thursday;Hotel-Inform
7; SYSTEM ; Actually, the Express by Holiday Inn Cambridge is a 2 start hotel in the east area. It's in the expensive price range. How does that sound?;Booking-Inform
8; USER ; That sounds perfect. Can you reserve that and provide me with the reference number?;Hotel-Request
9; SYSTEM ; Okay, you're all set. The hotel is booked and the reference number is Q3VVCAD8 . Can I help you with anything else today?;Booking-Book
10; USER ; Thank you. I am also looking for a restaurant that serves Chinese and that is in the same area as the hotel.;Restaurant-Inform
11; SYSTEM ; Yu garden is an expensive restaurant in the same area as the hotel, would you like me to make reservations for you?;Booking-Inform
12; USER ; Yes. Same group of people, at 19:45 on the same day please.;Restaurant-Inform
13; SYSTEM ; Booking was successful. The table will be reserved for 15 minutes. Reference number is : L9CIMUNJ . What else can I help you with today?;Booking-Book
14; USER ; That was all I needed. Thanks. Bye.;general-bye
15; SYSTEM ; Ok! Have a great day!;general-bye
0; USER ; I'm looking for information on Cambridge University Botanic Gardens.;Attraction-Inform
1; SYSTEM ; They are on bateman st, postal code cb21jf, they can be reach at 01223336265, the entrance fee is 4 pounds, can I help with anything else?;Attraction-Inform
2; USER ; Yes can you help me find a restaurant?;Restaurant-Inform
3; SYSTEM ; The Botanic Gardens are in the centre. Would you like the restaurant to also be in the center? Do you have any type of cuisine in mind?;Attraction-Inform
4; USER ; Never mind, I will worry about food later. I am actually looking for a hotel with a guesthouse and free parking would be great as well.;Hotel-Inform
5; SYSTEM ; There are 21 guesthouses with free parking, do you have a price or area preference?;Hotel-Inform
6; USER ; Cheap and in the south please.;Hotel-Inform
7; SYSTEM ; I found a guest house listing for Rosa's Bed and Breakfast in the south. Would you like more information?;Hotel-Recommend
8; USER ; I really need a hotel in the west please.;Hotel-Inform
9; SYSTEM ; i have 1 hotel in the west. the cambridge belfry is cheap with 4 stars. it offers free parking and wifi. do you need a room?;Booking-Inform
10; USER ; I'm sorry. I really was looking for a guesthouse.;Hotel-Inform
11; SYSTEM ; Okay. And did you want it in the west or the south?;Hotel-Select
12; USER ; I would like the west please.;Hotel-Request
13; SYSTEM ; I found finches bed and breakfast matching your request. Would you like to book a room now?;Booking-Inform
14; USER ; Can you please book for Saturday, 2 people, 5 nights please?;Hotel-Inform
15; SYSTEM ; Booking was successful. Reference number is : W1QIVTNY .;Booking-Book
16; USER ; Thank you so much. I believe that is all I need today. Thanks again for all your help.;general-thank
17; SYSTEM ; Have a nice day.;general-bye
0; USER ; I would like to find an architectural attraction to go to in the centre. Can you help me?;Attraction-Inform
1; SYSTEM ; Yes! I found 5 attractions matching your requirements. Would you like to know more?;Attraction-Inform
2; USER ; I would like to get the entrance fee and address of them please;Attraction-Request
3; SYSTEM ; Great saint mary's church is 2 pounds and the other 4 are free. Would you like the address for great saint mary's church?;Attraction-Inform
4; USER ; Yes, that would be great.;Attraction-Request
5; SYSTEM ; The church is located in Market Square postcode cb23pq. I do not have access to the full address.;Attraction-Inform
6; USER ; Okay thank you. That is all I needed.;general-thank
7; SYSTEM ; OK, can I help with any other travel plans?;general-reqmore
8; USER ; We are looking for a place to dine, preferably expensive Italian food in the same area as the attraction. What do you suggest? I need an address and postcode please.;Restaurant-Inform
9; SYSTEM ; Okay, I recommend the clown's cafe. Would you like me to make a reservation?;Booking-Inform
10; USER ; Can you book it for me and get a reference number ?;Restaurant-Request
11; SYSTEM ; Yes I can if you let me know how many people the reservation will be for an date and time of the booking.;Booking-Request
12; USER ; I do not need a reservation. I need a postcode and address only.;Restaurant-Request
13; SYSTEM ; The postcode for Clowns Cafe is cb11ln. The address is 54 King Street City Centre. Can I help you with anything else today?;Restaurant-Inform
14; USER ; Nope that's it, you have been oh so wonderful, thank you!;general-thank
15; SYSTEM ; Thank you so much! I hope you have an excellent time on your trip! Goodbye!;general-bye
0; USER ; Hi, I'm looking for a restaurant with modern european food. It should be in the moderate price range.;Restaurant-Inform
1; SYSTEM ; What area are you wanting to be in?;Restaurant-Request
2; USER ; Doesn't really matter. Is there one in the centre?;Restaurant-Inform
3; SYSTEM ; Yes, there are 2: De Luca Cucina and Bar & Riverside Brasserie. Would you like further information?;Restaurant-Inform
4; USER ; Can I book De Luca Cucina and Bar for 6 people at 19:15 on saturday please?;Restaurant-Inform
5; SYSTEM ; Your tabled has been reserved for 6 people on Saturday at 19:15. The reference number is 9EB2IM2S .;Booking-Book
6; USER ; Thank you so much. That is all I need for now. Have a great day.;general-thank
7; SYSTEM ; Thank you. Goodbye.;general-bye
0; USER ; I need a taxi. I'll be departing from la raza.;Taxi-Inform
1; SYSTEM ; I can help you with that. When do you need to leave?;Taxi-Request
2; USER ; I'd like to leave after 11:45 please.;Taxi-Inform
3; SYSTEM ; Where will you be going?;Taxi-Request
4; USER ; I'll be going to restaurant one seven.;Taxi-Inform
5; SYSTEM ; I've booked for you a black Volkswagen, the contact number is 07552762364. Is there anything else I can help you with?;Taxi-Inform
6; USER ; No, thats it. Thank you!;general-thank
7; SYSTEM ; Thank you for contacting us and have a nice day.;general-bye
0; USER ; I'm looking for info on expensive south indian restaurants in Cambridge.;Restaurant-Inform
1; SYSTEM ; I am sorry but I have no listings for expensive South Indian restaurants. Is there another choice you would like?;Restaurant-NoOffer
2; USER ; Are you sure? Could you please check again?;Restaurant-Inform
3; SYSTEM ; There are no south indian restaurants. There are indian restaurants available though. Would this b e okay?;Restaurant-Inform
4; USER ; No how about British food instead?;Restaurant-Inform
5; SYSTEM ; There are a number of expensive british restaurants in cambridge. Do you have an area in mind?;Restaurant-Inform
6; USER ; The restaurant should be in the east.;Restaurant-Inform
7; SYSTEM ; The Grafton Hotel Restaurant meets all of your criteria! Would you like to book a table?;Booking-Inform
8; USER ; No, I just need the post code and phone number, please.;Hotel-Request
9; SYSTEM ; The phone number is 01223241387 and the postcode is cb58pa. Is there anything else I can help?;Restaurant-Inform
10; USER ; Yes I would like to also find a hotel called a and b guest house.;Hotel-Inform
11; SYSTEM ; The a and b guest house is a 4 star guesthouse in the east at 124 tension road. It does not offer parking, but internet is available.;Hotel-Inform
12; USER ; Could I have the address and postcode please?;Hotel-Request
13; SYSTEM ; Sure, it is located at 124 Tenison Road, postcode cb12dp.;Hotel-Inform
14; USER ; That is all I need, thanks.;general-thank
15; SYSTEM ; Glad I can help enjoy your stay.;general-welcome
16; USER ; Parting is such sweet sorrow, but that I all I need, have a good day.;general-bye
17; SYSTEM ; ta ta or now. See ya later alligator.;general-bye
18; USER ; Thanks for your help today.;general-thank
19; SYSTEM ; helping ha been m pleasure;general-welcome
20; USER ; Bye, thank you.;general-bye
21; SYSTEM ; bye great day;general-bye
0; USER ; Can you see if there are any entertainment attractions in the centre of town?;Attraction-Inform
1; SYSTEM ; Unfortunately there are no entertainment attractions in the centre of town. Is there a different area of town that would work for you?;Attraction-NoOffer
2; USER ; What about a museum?;Attraction-Inform
3; SYSTEM ; Yes, there are 11 museums. I'd recommend Broughton House Gallery. It's at 98 King Street cb11ln and has free entrance. Would that work for you?;Attraction-Inform
4; USER ; Yes, that will work great. Can I get their phone number please?;Attraction-Request
5; SYSTEM ; Certainly. The Broughton House Gallery's phone number is 01223314960. Is there anything else I can help you with today?;Attraction-Inform
6; USER ; No, that's all I need. Thanks!;general-thank
7; SYSTEM ; You are welcome. Have a great day. Bye.;general-bye
0; USER ; Hi, I'm looking for a nightclub in town please.;Attraction-Inform
1; SYSTEM ; There are several nightclubs in town. I recommend ballare. It is found in the center of town.;Attraction-Inform
2; USER ; Okay, could you tell me he postcode and the entrance fee?;Attraction-Request
3; SYSTEM ; Sure thing! Entry fee is 5 pounds and postcode is cb23na.;Attraction-Inform
4; USER ; I would also like to eat in the center of town.;Restaurant-Inform
5; SYSTEM ; We have many dining options available in city centre. Do you have a price range or style of food you would prefer?;Restaurant-Inform
6; USER ; Are there any steakhouses in the centre?;Restaurant-Inform
7; SYSTEM ; Unfortunately not. Do you want to broaden your search?;Restaurant-NoOffer
8; USER ; Can you find something with italian food instead?;Restaurant-Inform
9; SYSTEM ; Oh, great choice. I love Italian too. There are several options. How about Zizzi Cambridge?;Restaurant-Inform
10; USER ; That sounds great, what's the price range for Zizzi Cambridge?;Restaurant-Inform
11; SYSTEM ; Zizzi Cambridge is relatively cheap, but the food is sublime. Would you like me to book it for you?;Booking-Inform
12; USER ; That sounds great, please do.;Restaurant-Request
13; SYSTEM ; I'd be happy to. Can you tell me a date, time and how many people in your party?;Booking-Request
14; USER ; It will just be for me on Wednesday. I would like it to be for around 4pm.;Restaurant-Inform
15; SYSTEM ; Booking was successful. The table will be reserved for 15 minutes. Your Reference number is : UWZS9JSU .;Booking-Book
16; USER ; I would love a taxi;Taxi-Inform
17; SYSTEM ; I can help with that. What is your departure site, destination, and the time you need it?;Taxi-Request
18; USER ; I want to depart the restaurant at 05:00 to go to the attraction;Taxi-Inform
19; SYSTEM ; A yellow Tesla will pick you up, and the contact number is 07267272725. Can I help with anything else today?;Taxi-Inform
20; USER ; No, I believe that's all I need today. Thanks for your help.;general-thank
21; SYSTEM ; Have a great day. Enjoy your trip. Goodbye.;general-bye
0; USER ; Hi, I was going to visit the centre, and wanted to know if there were any professional or semiprofessional teams playing during my visit.;Attraction-Inform
1; SYSTEM ; There are no sports places in the centre of town.;Attraction-NoOffer
2; USER ; Okay. Are there any architectural attractions?;Attraction-Inform
3; SYSTEM ; Yes, there are 5. I can highly recommend All Saints Church, it's beautiful.;Attraction-Inform
4; USER ; The sounds great, can I get their address and postal code?;Attraction-Request
5; SYSTEM ; The address is jesus lane.;Attraction-Inform
6; USER ; what's the postcode?;Attraction-Request
7; SYSTEM ; The postcode is cb58bs. Is there anything else I can help you with?;Attraction-Inform
8; USER ; I am also looking for the Bloomsbury, a restaurant.;Restaurant-Inform
9; SYSTEM ; Yes I found bloomsbury restaurant located in the centre. It serves international food in the moderate price range. Would you like to book a table?;Booking-Inform
10; USER ; Yes, I sure would. I'd like to reserve a table on Sunday at 14:00 for 6 people. Can I get the reference number?;Restaurant-Inform
11; SYSTEM ; I have made the reservations and your reference number is 9F1PDAH6 .;Booking-Book
12; USER ; Thank you that will be all.;general-thank
13; SYSTEM ; i hope i have been of help to you;general-reqmore
14; USER ; You have been great, thank you.;general-thank
15; SYSTEM ; Thank you for using the Cambridge TownInfo centre. Goodbye!;general-bye
0; USER ; I'm looking to book a ticket for a train that leaves stevenage after 09:45.;Train-Inform
1; SYSTEM ; Thank you so much. Have a nice day;general-bye
2; USER ; did you book the ticket and if so, how much does it cost?;Train-Inform
3; SYSTEM ; The first train to leave stevenage after 09:45 leaves at 09:54 and costs 12.80 pounds. Would you like me to book that for you?;Train-Inform
4; USER ; Yes please. I need the booking for 8 people, and I would like a reference number.;Train-Inform
5; SYSTEM ; done . Your reference number is EM07DZ7Z .;Train-OfferBooked
6; USER ; Thank you! I am also looking for information about the Golden Wok restaurant.;Restaurant-Inform
7; SYSTEM ; Golden wok serves chinese food and is in the north area of town in the moderate price range. The address is 191 Histon Road Chesterton. Would you like to make a reservation?;Booking-Inform
8; USER ; No thanks. But the information you gave me helps alot. Thank you so much for your help. Have a good day.;general-bye
9; SYSTEM ; You're welcome - have a great day!;general-bye
0; USER ; Hi, I am trying to plan a trip and need some help with a train. I'm not familiar with trains at all unfortunately.;Train-Inform
1; SYSTEM ; Don't worry, I should be able to help you. Do you know which station you'll be leaving from or going to?;Train-Request
2; USER ; I'm departing from leicester and I need to leave on friday. Thank you for helping!;Train-Inform
3; SYSTEM ; What is your destination?;Train-Request
4; USER ; I'm going to Cambridge.;Train-Inform
5; SYSTEM ; Is there a time you would like to arrive by?;Train-Request
6; USER ; 11 pm and I want it for three people;Train-Inform
7; SYSTEM ; TR6539 will arrive by 22:54. Booking was successful, the total fee is 113.4 GBP payable at the station. Your reference number is IE5RK2IG . Do you need anything else?;Train-OfferBooked
8; USER ; I also need a place to stay.;Hotel-Inform
9; SYSTEM ; We have many great places to stay. What area would you like and do you have a price range?;Hotel-Inform
10; USER ; I would like a guesthouse, rated 3 stars, in the north with free parking. I have 8 people and I want to stay for 5 nights starting on Friday.;Hotel-Inform
